Region,Profundidad_Pozo,Barriles_Diarios,Presion_Reservorio,Temperatura_Reservorio
Este,1011,1985,2698,126
Este,1338,307,4471,68
Este,2799,1154,3300,84
Norte,2750,468,2904,75
Norte,2508,284,3850,63
Este,3421,1906,2011,94
Sur,1709,1384,3506,93
Este,2291,1286,1949,92
Oeste,1488,623,2994,135
Oeste,1046,1200,3046,105
Oeste,1777,272,1507,68
Oeste,2039,970,2327,131
Este,1710,1352,3548,125
Sur,1400,1481,3850,104
Norte,2817,1578,3645,141
Oeste,1390,1869,4486,109
Oeste,1334,326,3509,108
Sur,1628,1511,1919,82
Oeste,2521,660,4427,98
Norte,1826,1502,2951,86
Oeste,2500,122,3254,148
Sur,1989,1103,2258,148
Oeste,1934,1437,4426,129
Norte,1401,1939,1514,87
Norte,2466,1873,2231,126
Este,1614,1524,1708,136
Este,2182,1229,4196,71
Oeste,2121,1114,3584,84
Este,2194,409,2564,95
Este,1363,721,3730,135
Oeste,2372,1685,1572,134
Este,1920,1453,3986,74
Oeste,1015,728,2299,55
Norte,1492,1363,4119,72
Este,2449,489,3258,113
Norte,2131,1741,3902,136
Este,1310,56,1650,72
Norte,1738,1269,2645,145
Norte,1545,470,1993,79
Este,3461,1641,3742,126
Sur,1250,882,3587,67
Norte,2804,608,4262,128
Oeste,2297,1221,2338,146
Sur,2631,1860,1900,70
Sur,1813,1275,2684,72
Norte,1028,1517,3827,140
Sur,1957,963,2585,94
Norte,3032,1492,2923,93
Sur,1476,1500,2781,131
Oeste,1317,1056,2136,137
Oeste,1244,1552,3217,96
Este,1271,444,2944,91
Oeste,2771,866,2037,56
Norte,2262,930,2738,99
Sur,1920,1465,3961,55
Norte,1339,979,4226,140
Oeste,1388,1761,2590,58
Oeste,3050,1513,2745,80
Oeste,2165,1277,3935,70
Sur,1375,1559,3518,139
Sur,3033,882,2098,89
Sur,3371,1104,3324,94
Sur,1145,1461,1939,126
Oeste,1292,1950,4414,136
Sur,1431,1507,2448,69
Norte,1704,886,1570,141
Sur,2998,1449,3904,77
Oeste,1398,492,2205,115
Sur,1963,124,1917,107
Sur,3234,606,2874,90
Oeste,3041,1845,1832,55
Sur,2828,1739,4135,124
Este,3108,1228,3886,87
Oeste,1938,1503,4331,55
Este,1709,412,3240,94
Oeste,1806,497,2678,124
Sur,2463,1307,1615,63
Oeste,1010,1891,2749,89
Sur,2868,1900,3990,148
Oeste,3273,174,3768,146
Oeste,1771,294,3477,68
Norte,2594,591,1653,67
Este,2333,171,4475,137
Oeste,2389,1622,2135,111
Norte,1824,173,4130,149
Oeste,3265,1942,2066,74
Norte,3306,1781,2141,138
Norte,2911,835,1531,65
Este,2796,250,4293,147
Norte,1053,418,3213,142
Norte,1726,846,3690,68
Este,2544,108,4255,132
Oeste,2913,687,2117,65
Oeste,2596,1986,4020,122
Oeste,2914,158,2857,50
Oeste,3466,1809,1804,91
Este,1849,1351,3789,146
Este,3109,117,2857,83
Este,1780,354,2610,83
Norte,1892,1982,3923,138
Este,3030,723,2959,94
Sur,1579,1927,4221,70
Este,2933,870,3707,119
Sur,2380,1452,4079,145
Norte,2290,392,2052,97
Este,1951,948,4033,80
Oeste,2218,1489,1639,67
Sur,1920,1182,3387,109
Oeste,2355,811,3486,122
Este,1169,1570,2167,144
Este,1520,390,1941,64
