Edad,Genero,Historial_Crediticio,Salario_Anual,Deuda
56,M,Regular,61037.0,22443.0
69,F,Bueno,31805.0,39725.0
46,F,Bueno,63147.0,49212.0
32,M,Malo,94280.0,18595.0
60,M,Regular,66053.0,9740.0
25,F,Bueno,117841.0,12559.0
38,F,Malo,111393.0,42741.0
56,F,Regular,96215.0,39044.0
36,F,Bueno,115365.0,21747.0
40,F,Regular,30985.0,40920.0
28,F,Regular,113823.0,7973.0
28,F,Bueno,32391.0,15333.0
41,M,Bueno,24861.0,30129.0
53,F,Bueno,83582.0,37.0
57,F,Regular,71928.0,38758.0
41,M,Regular,54364.0,32311.0
20,F,Malo,102399.0,38206.0
39,F,Regular,117035.0,48503.0
19,M,Bueno,113330.0,28207.0
41,F,Regular,62923.0,43624.0
61,M,Malo,27919.0,33241.0
47,M,Malo,75896.0,58.0
55,M,Bueno,105818.0,
19,M,Bueno,67396.0,30635.0
38,F,Malo,54840.0,14834.0
50,M,Malo,62255.0,15577.0
29,M,Malo,91160.0,27190.0
39,F,Bueno,119242.0,7296.0
61,M,Malo,28176.0,21383.0
42,M,Malo,53529.0,45438.0
66,M,Bueno,76406.0,24660.0
44,M,Regular,32941.0,42493.0
59,F,Regular,21669.0,2674.0
45,M,Malo,105782.0,48564.0
33,F,Regular,64859.0,43833.0
32,F,Regular,75786.0,22820.0
64,M,Regular,71083.0,19504.0
68,M,Regular,60076.0,25666.0
61,M,Malo,40323.0,43794.0
69,M,Regular,119430.0,2076.0
20,F,Regular,26021.0,
54,F,Bueno,59807.0,32406.0
68,F,Malo,70355.0,40262.0
24,M,Bueno,64732.0,25784.0
38,F,Bueno,28711.0,21125.0
26,M,Malo,83079.0,23216.0
56,M,Regular,27904.0,2581.0
35,M,Bueno,,15600.0
21,M,Malo,106478.0,30284.0
42,M,Regular,109787.0,20171.0
31,F,Malo,75096.0,25091.0
67,F,Bueno,110594.0,14333.0
26,M,Regular,23093.0,30535.0
43,F,Regular,44918.0,23487.0
19,M,Malo,92743.0,10404.0
37,M,Regular,82636.0,43934.0
45,M,Bueno,78806.0,33700.0
64,F,Bueno,29394.0,18047.0
24,M,Bueno,112510.0,41516.0
61,M,Malo,113708.0,15577.0
25,F,Regular,117819.0,24298.0
64,F,Regular,33280.0,15015.0
52,F,Regular,56303.0,25568.0
31,M,Bueno,,48876.0
34,M,Regular,,26204.0
53,F,Bueno,88449.0,31748.0
67,M,Regular,45765.0,26267.0
57,F,Bueno,22340.0,
21,F,Regular,,32615.0
19,M,Malo,113409.0,1104.0
23,M,Malo,58057.0,17654.0
59,F,Bueno,20597.0,45704.0
21,F,Bueno,77988.0,42369.0
46,F,Regular,114655.0,3646.0
35,F,Regular,35025.0,21471.0
43,M,Malo,27145.0,
61,F,Regular,75797.0,21107.0
51,F,Bueno,61723.0,47728.0
27,F,Bueno,93230.0,14878.0
53,M,Bueno,24830.0,9145.0
31,M,Bueno,43930.0,23042.0
48,F,Bueno,,18226.0
65,M,Malo,96025.0,2802.0
32,M,Malo,118228.0,24119.0
25,M,Bueno,101304.0,49133.0
31,F,Regular,82040.0,27185.0
40,F,Bueno,87696.0,6105.0
57,M,Malo,84648.0,2749.0
38,F,Bueno,75030.0,49742.0
33,F,Malo,76815.0,42949.0
62,M,Malo,105669.0,34129.0
35,M,Bueno,55690.0,24512.0
64,F,Bueno,108406.0,36541.0
41,M,Regular,110032.0,13495.0
43,F,Malo,77923.0,2064.0
42,F,Regular,56572.0,30078.0
62,M,Bueno,74030.0,30011.0
58,F,Malo,87904.0,5616.0
46,F,Regular,49203.0,7975.0
32,M,Regular,97088.0,10960.0
62,M,Regular,25608.0,27992.0
18,M,Bueno,,21387.0
42,F,Bueno,75547.0,15324.0
24,M,Bueno,42485.0,6243.0
26,M,Malo,29862.0,32628.0
41,M,Bueno,95948.0,9560.0
18,M,Malo,106890.0,47452.0
61,F,Regular,91880.0,41098.0
25,F,Regular,77560.0,4923.0
41,M,Bueno,103529.0,39235.0
28,F,Regular,114218.0,21325.0
68,M,Bueno,48415.0,27949.0
34,M,Malo,84523.0,22821.0
25,F,Regular,39323.0,6076.0
52,F,Bueno,73214.0,22032.0
52,M,Regular,37997.0,8001.0
50,M,Regular,77003.0,15303.0
22,F,Bueno,23679.0,16457.0
59,M,Regular,115025.0,41443.0
56,F,Regular,60308.0,12303.0
58,M,Regular,,15128.0
45,M,Regular,59842.0,18280.0
24,F,Malo,85408.0,39427.0
26,F,Regular,89532.0,31644.0
25,F,Regular,73938.0,38014.0
